neighbourhood_group,year_month,reviews
Manhattan,2018-09,3664
Manhattan,2018-10,3520
Manhattan,2018-11,2776
Manhattan,2018-12,6244
Manhattan,2019-01,8175
Manhattan,2019-02,2634
Manhattan,2019-03,4906
Manhattan,2019-04,10222
Manhattan,2019-05,35520
Manhattan,2019-06,249305
Manhattan,2019-07,86801
Queens,2011-09,1
Queens,2012-09,2
Queens,2012-11,3
Queens,2012-12,1
Queens,2014-04,2
Queens,2014-05,3
Queens,2014-07,28
Queens,2014-08,3
Queens,2014-09,23
Queens,2014-10,28
Queens,2014-11,1
Queens,2014-12,1
Queens,2015-01,1
Queens,2015-02,2
Queens,2015-03,2
Queens,2015-04,1
Queens,2015-05,51
Queens,2015-06,6
Queens,2015-07,16
Queens,2015-08,77
Queens,2015-09,81
Queens,2015-10,61
Queens,2015-11,109
Queens,2015-12,82
Queens,2016-01,81
Queens,2016-02,3
Queens,2016-03,5
Queens,2016-04,10
Queens,2016-05,20
Queens,2016-06,80
Queens,2016-07,135
Queens,2016-08,150
Queens,2016-09,133
Queens,2016-10,126
Queens,2016-11,102
Queens,2016-12,130
Queens,2017-01,245
Queens,2017-02,35
Queens,2017-03,139
Queens,2017-04,144
Queens,2017-05,87
Queens,2017-06,245
Queens,2017-07,306
Queens,2017-08,187
Queens,2017-09,428
Queens,2017-10,368
Queens,2017-11,118
Queens,2017-12,313
Queens,2018-01,407
Queens,2018-02,95
Queens,2018-03,79
Queens,2018-04,472
Queens,2018-05,233
Queens,2018-06,427
Queens,2018-07,467
Queens,2018-08,690
Queens,2018-09,1114
Queens,2018-10,928
Queens,2018-11,1812
Queens,2018-12,1253
Queens,2019-01,2493
Queens,2019-02,902
Queens,2019-03,1500
Queens,2019-04,3098
Queens,2019-05,10816
Queens,2019-06,80115
Queens,2019-07,45874
Staten Island,2014-04,1
Staten Island,2015-10,1
Staten Island,2015-11,6
Staten Island,2016-11,20
Staten Island,2017-01,2
Staten Island,2017-03,5
Staten Island,2017-08,48
Staten Island,2017-09,17
Staten Island,2018-02,3
Staten Island,2018-04,1
Staten Island,2018-07,4
Staten Island,2018-08,21
Staten Island,2018-09,144
Staten Island,2018-10,151
Staten Island,2018-11,47
Staten Island,2018-12,66
Staten Island,2019-01,124
Staten Island,2019-02,76
Staten Island,2019-03,95
Staten Island,2019-04,149
Staten Island,2019-05,991
Staten Island,2019-06,5698
Staten Island,2019-07,3871
